fir_number,district,police_station,crime_type,ipc_bns_sections,incident_date,report_date,location_description,latitude,longitude,complainant_name,complainant_age,complainant_gender,complainant_contact,accused_name,accused_age,accused_gender,accused_count,weapon_used,property_loss_inr,case_status,case_outcome,investigating_officer,severity,is_juvenile_involved
0001/2020,Mysuru,Devaraja PS,Kidnapping,"363, 137",2020-09-30,2020-10-01,"19, Walla Chowk",14.453453,74.134087,Jackson Rattan,24,Other,09817964673,Unknown,,,0,None,0,Under Investigation,,Inspector Basu,High,No
0002/2024,Belagavi,Camp PS,Extortion,"384, 308",2024-10-01,2024-10-01,"818, Saran Marg",16.386976,75.531127,Gayathri Patla,63,Other,03873809811,Ira Aggarwal; Chandresh Bera; Abhimanyu Karpe,32,Female,3,Acid,404810.51,Pending Court Trial,Acquitted,SI Dhingra,High,No
0003/2022,Kalaburagi,Brahmapur PS,Robbery,"392, 309",2022-04-06,2022-04-06,"86/392, Kaul Nagar",15.364284,77.732321,Chandresh Dave,40,Other,+919773890260,Ekta Palla; Simon Sachar,20,Other,2,Rope,268345.93,Case Closed,Convicted,ASI Chander,High,No
0004/2018,Kalaburagi,Brahmapur PS,Robbery,"392, 309",2018-07-07,2018-07-12,"97/109, Sandal Zila",14.091267,74.942782,Avi Ghosh,36,Male,+911088155499,Raagini Palla,24,Female,1,Acid,226978.45,Charge Sheet Filed,Acquitted,CPI Om,High,No
0005/2026,Mysuru,Vijayanagar PS,Arson,"436, 324",2026-03-06,2026-03-07,"612, Issac Chowk",17.252618,77.622706,Sai Chhabra,42,Female,2259252593,Rehaan Lad,38,Male,1,None,0,Under Investigation,,PSI Vora,High,No
0006/2026,Mysuru,Vijayanagar PS,Public Nuisance,"268, 270",2026-01-19,2026-01-21,"00/849, Chanda Circle",16.714923,76.425398,Anvi Kant,49,Female,+914542451560,Ekiya Kashyap; Chandran Sagar; Darpan Sastry,27,Female,3,None,0,Charge Sheet Filed,Acquitted,PSI Tank,Low,No
0007/2020,Tumakuru,Bharathinagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2020-06-17,2020-06-18,"724, Patla Street",12.619874,77.062165,Urvi Gade,23,Male,2853334677,Unknown,,,0,None,0,Pending Court Trial,Compounded,PSI Sha,High,No
0008/2022,Ballari,Cowl Bazar PS,Fraud/Cheating,"420, 318",2022-04-13,2022-04-17,"19/67, Bhavsar Chowk",16.271973,76.416366,Barkha Chatterjee,51,Female,+916063967835,Unknown,,,0,None,340301.56,Case Withdrawn,,SI Walia,Medium,No
0009/2019,Hubballi-Dharwad,Dharwad Rural PS,Vehicle Theft,"379, 303",2019-04-02,2019-04-04,"521, Boase Road",13.589114,76.875273,Ekani Sehgal,47,Male,0069613431,Wishi Mittal; Megha Mukherjee,50,Male,2,None,254087.0,Case Closed,Compounded,SI Shroff,Medium,No
0010/2024,Mangaluru,Mangaladevi PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-01-19,2024-01-23,"05/933, Natt",13.176166,75.083922,Samuel Sodhi,56,Female,03599061097,Shivani Raju; Wishi Desai; Yashawini Bal,19,Male,3,None,464584.76,FIR Registered,,CPI Bhandari,Medium,No
0011/2018,Mysuru,Devaraja PS,Counterfeiting,"489B, 178",2018-10-11,2018-10-15,"H.No. 001, Saini Marg",17.607031,75.904121,Pallavi Peri,26,Other,01410314861,Xavier Raj; Samaksh Char; Shaurya Sibal,53,Male,3,None,0,Convicted,Settled Out of Court,CPI Kala,Low,No
0012/2022,Davanagere,P.G. Halli PS,Chain Snatching,"356, 304",2022-06-23,2022-06-28,"23, Bali",15.618161,75.035516,Chaaya Butala,46,Other,5253786970,Onveer Char; Varsha Mani; Urvashi Aurora,25,Male,3,None,112736.32,Pending Court Trial,Convicted,CPI Munshi,Medium,No
0013/2018,Mysuru,Devaraja PS,Domestic Violence,"498A, 85",2018-10-04,2018-10-04,"H.No. 855, Aggarwal Nagar",15.274638,77.255087,Keya Vasa,22,Other,+911731600145,Bhavika Sama,35,Other,1,Rope,0,FIR Registered,,PSI Char,Medium,No
0014/2023,Ballari,Bruhat Bangalore PS,Domestic Violence,"498A, 85",2023-04-22,2023-04-25,"99/746, Mann Nagar",17.546857,74.24377,Harish Halder,24,Other,4169251256,Sarthak Puri; Aarav Sura; Unnati Gole,40,Female,3,Vehicle,0,Under Investigation,,ASI Nayak,Medium,No
0015/2026,Mysuru,Devaraja PS,Fraud/Cheating,"420, 318",2026-03-02,2026-03-04,"H.No. 85, Shetty",13.449816,75.124129,Yatan Sachdev,24,Male,+913986796991,Upma Bora,30,Other,1,None,224582.47,Convicted,Acquitted,ASI Bhakta,Medium,No
